id,name,sectype,currency,exchange,minvol,maxvol,meanvol,medianvol
514,AR,,,,0.159567,1.98121,0.521871,0.398953
515,ARA,,,,0.0271748,1.58398,0.58497,0.497056
516,ARAV,,,,0.323112,7.46157,0.920379,0.672081
517,ARAY,,,,0.219817,1.46289,0.555373,0.490285
518,ARB,,,,0.017906,0.0888021,0.0358286,0.028454
519,ARBGU,,,,,,,
520,ARC,,,,0.151832,2.30165,0.537807,0.476228
521,ARCB,,,,0.174013,1.25613,0.487464,0.442468
522,ARCC,,,,0.0600125,1.5138,0.263272,0.187566
523,ARCE,,,,0.209871,0.963558,0.515711,0.471064
524,ARCH,,,,0.114187,14.8903,0.648776,0.450123
525,ARCM,,,,0.0053051,0.402018,0.108572,0.0537709
526,ARCO,,,,0.185099,1.73573,0.457663,0.402146
527,ARCT,,,,0.302554,2.09336,0.913344,0.83184
528,ARD,,,,0.102255,1.56877,0.341534,0.289461
529,ARDC,,,,0.0386623,1.133,0.120846,0.0889472
530,ARDS,,,,0.277834,1.57155,0.951954,0.942006
531,ARDX,,,,0.370063,2.06278,0.762401,0.662064
532,ARE,,,,0.0806787,1.54563,0.245951,0.196487
533,ARE-A,,,,,,,
534,AREC,,,,0.0,14.0159,1.65373,0.941319
535,ARES,,,,0.0995646,1.22555,0.308763,0.279428
536,ARG-A,,,,,,,
537,ARGD,,,,0.0127132,2.04516,0.11949,0.0776565
538,ARGO,,,,0.10573,1.00723,0.2768,0.221979
539,ARGT,,,,0.113071,2.94747,0.305805,0.241198
540,ARGX,,,,0.224177,1.74299,0.480144,0.369931
541,ARI,,,,0.0532796,2.31346,0.220678,0.148727
542,ARKF,,,,0.0959463,0.855517,0.298349,0.254857
543,ARKG,,,,0.111012,1.14659,0.329737,0.288144
544,ARKK,,,,0.109447,1.01621,0.288884,0.24841
545,ARKQ,,,,0.0975982,0.868986,0.235554,0.196685
546,ARKR,,,,0.0774305,1.9175,0.429616,0.345771
547,ARKW,,,,0.0787028,0.872389,0.268462,0.222199
548,ARL,,,,0.0455213,2.86316,0.509901,0.424484
549,ARLO,,,,0.329008,1.89828,0.863488,0.828321
550,ARLP,,,,0.0829566,2.91914,0.385947,0.317377
551,ARMK,,,,0.0875254,2.00109,0.28863,0.220683
552,ARMP,,,,0.316298,11.3317,1.42504,1.07953
553,ARMR,,,,0.146669,0.711432,0.293144,0.240236
554,ARNA,,,,0.206888,2.36249,0.62775,0.53789
555,ARNC,,,,0.537242,1.49712,0.733473,0.652895
556,AROC,,,,0.133207,2.68165,0.521517,0.426597
557,AROW,,,,0.0757087,1.33718,0.285386,0.247134
558,ARPO,,,,0.199249,3.7208,0.899486,0.701031
559,ARQT,,,,0.481173,1.91293,0.98495,0.857675
560,ARR,,,,0.0230796,2.18243,0.226861,0.181985
561,ARR-C,,,,,,,
562,ARRY,,,,0.860152,0.958929,0.892475,0.867168
563,ARTL,,,,0.8278,3.03316,1.36042,1.17971
564,ARTLW,,,,,,,
565,ARTNA,,,,0.0898526,1.17337,0.283291,0.258501
566,ARTW,,,,0.128434,3.38671,0.703807,0.604192
567,ARVN,,,,0.3237,2.05775,0.71921,0.662737
568,ARW,,,,0.0875458,2.15717,0.359765,0.306201
569,ARWR,,,,0.168422,10.2882,0.935111,0.693628
570,ARYA,,,,0.139448,0.2183,0.185033,0.176596
571,ASA,,,,0.105491,4.6084,0.355975,0.309363
572,ASA.U,,,,,,,
573,ASA.W,,,,,,,
574,ASAN,,,,0.406393,0.826877,0.555325,0.578927
575,ASAQ,,,,0.0369804,0.0601373,0.0454586,0.0440871
576,ASB,,,,0.0581452,1.36864,0.301773,0.235175
577,ASB-C,,,,,,,
578,ASB-D,,,,,,,
579,ASB-E,,,,,,,
580,ASB-F,,,,,,,
581,ASC,,,,0.110978,1.39307,0.46172,0.404513
582,ASEA,,,,0.0720926,0.799658,0.184639,0.162107
583,ASG,,,,0.0720488,1.37891,0.233272,0.204308
584,ASGI,,,,0.0704692,0.297667,0.228988,0.23302
585,ASGN,,,,0.0970449,2.07647,0.505378,0.444665
586,ASH,,,,0.0751494,1.3924,0.289788,0.237768
587,ASHR,,,,,,,
588,ASHS,,,,0.0920927,1.36747,0.318987,0.261777
